transaction_id,site_id,user_id,vehicle_id,payment_status,entry_time,exit_time,price
799109,497,875020,851809,Payment Foregone,2022-09-30T19:00:13-05:00,2022-09-30T20:01:06-05:00,15.00
799110,472,875198,851915,Payment Not Required,2022-09-30T19:00:16-05:00,2022-09-30T21:09:42-05:00,0.00
799111,493,875201,851916,Payment Not Required,2022-09-30T19:00:57-05:00,2022-09-30T21:59:53-05:00,20.00
799112,472,875203,851919,Payment Not Required,2022-09-30T19:02:13-05:00,2022-09-30T21:52:42-05:00,0.00
799114,472,875204,851921,Payment Not Required,2022-09-30T19:03:02-05:00,2022-09-30T21:07:30-05:00,0.00
799115,472,530060,528818,Payment Not Required,2022-09-30T19:04:10-05:00,2022-09-30T21:18:14-05:00,0.00
799116,472,875205,851922,Payment Not Required,2022-09-30T19:04:35-05:00,2022-09-30T20:33:38-05:00,0.00
799117,474,778320,773131,Payment Not Required,2022-09-30T19:05:16-05:00,2022-10-01T07:09:55-05:00,0.00
799118,474,836815,823505,Payment Not Required,2022-09-30T19:05:22-05:00,2022-09-30T19:23:36-05:00,5.00
799119,472,875206,851923,Payment Not Required,2022-09-30T19:05:34-05:00,2022-09-30T21:03:19-05:00,0.00
799120,473,844913,829456,Payment Not Required,2022-09-30T19:05:59-05:00,2022-09-30T20:31:45-05:00,0.00
799121,472,844157,828897,Payment Not Required,2022-09-30T19:06:11-05:00,2022-09-30T20:04:50-05:00,0.00
799122,474,875210,851925,Payment Completed,2022-09-30T19:06:41-05:00,2022-09-30T21:35:22-05:00,25.00
799124,474,875212,851927,Payment Not Required,2022-09-30T19:07:29-05:00,2022-09-30T21:08:58-05:00,25.00
799125,474,875217,851928,Payment Not Required,2022-09-30T19:08:14-05:00,2022-09-30T21:29:25-05:00,25.00
799126,472,875214,851929,Payment Not Required,2022-09-30T19:08:27-05:00,2022-09-30T21:17:17-05:00,0.00
799127,474,875219,851931,Payment Not Required,2022-09-30T19:09:04-05:00,2022-09-30T21:29:42-05:00,25.00
799129,474,875218,851930,Payment Not Required,2022-09-30T19:08:40-05:00,2022-09-30T21:21:53-05:00,25.00
